the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2024-03-29 04:00:00+00,167,negative,2024-12-09 16:00:01.938486+00,283571
,,2020-05-16 04:00:00+00,1361,negative,2024-12-09 16:00:01.938486+00,283572
,,2022-04-09 04:00:00+00,115,positive,2024-12-09 16:00:01.938486+00,283573
,,2021-07-17 04:00:00+00,2020,negative,2024-12-09 16:00:01.938486+00,283574
,,2022-07-31 04:00:00+00,1010,negative,2024-12-09 16:00:01.938486+00,283575
,,2021-11-27 05:00:00+00,271,positive,2024-12-09 16:00:01.938486+00,283576
,,2020-09-16 04:00:00+00,97,positive,2024-12-09 16:00:01.938486+00,283577
,,2023-11-07 05:00:00+00,77,positive,2024-12-09 16:00:01.938486+00,283578
,,2023-03-15 04:00:00+00,62,positive,2024-12-09 16:00:01.938486+00,283579
,,2021-02-11 05:00:00+00,8501,negative,2024-12-09 16:00:01.938486+00,283580
,,2021-06-16 04:00:00+00,25,positive,2024-12-09 16:00:01.938486+00,283581
,,2023-07-30 04:00:00+00,77,negative,2024-12-09 16:00:01.938486+00,283582
,,2024-04-27 04:00:00+00,13,positive,2024-12-09 16:00:01.938486+00,283583
,,2023-08-10 04:00:00+00,58,positive,2024-12-09 16:00:01.938486+00,283584
,,2022-07-07 04:00:00+00,456,positive,2024-12-09 16:00:01.938486+00,283585
,,2022-11-11 05:00:00+00,1631,negative,2024-12-09 16:00:01.938486+00,283586
,,2023-12-17 05:00:00+00,192,negative,2024-12-09 16:00:01.938486+00,283587
,,2022-03-06 05:00:00+00,43,positive,2024-12-09 16:00:01.938486+00,283588
,,2021-10-18 04:00:00+00,7447,negative,2024-12-09 16:00:01.938486+00,283589
,,2020-06-09 04:00:00+00,142,positive,2024-12-09 16:00:01.938486+00,283590
,,2020-11-11 05:00:00+00,1125,positive,2024-12-09 16:00:01.938486+00,283591
,,2021-03-08 05:00:00+00,7776,negative,2024-12-09 16:00:01.938486+00,283592
,,2022-12-13 05:00:00+00,1741,negative,2024-12-09 16:00:01.938486+00,283593
,,2023-04-21 04:00:00+00,15,positive,2024-12-09 16:00:01.938486+00,283594
,,2020-09-10 04:00:00+00,3817,negative,2024-12-09 16:00:01.938486+00,283595
,,2021-08-12 04:00:00+00,354,positive,2024-12-09 16:00:01.938486+00,283596
,,2020-04-20 04:00:00+00,625,positive,2024-12-09 16:00:01.938486+00,283597
,,2022-04-15 04:00:00+00,3216,negative,2024-12-09 16:00:01.938486+00,283598
,,2022-08-26 04:00:00+00,231,positive,2024-12-09 16:00:01.938486+00,283599
,,2021-12-03 05:00:00+00,9776,negative,2024-12-09 16:00:01.938486+00,283600
,,2024-03-03 05:00:00+00,29,positive,2024-12-09 16:00:01.938486+00,283601
,,2023-11-01 04:00:00+00,188,negative,2024-12-09 16:00:01.938486+00,283602
,,2020-12-20 05:00:00+00,366,positive,2024-12-09 16:00:01.938486+00,283603
,,2023-06-01 04:00:00+00,16,positive,2024-12-09 16:00:01.938486+00,283604
,,2021-05-04 04:00:00+00,10505,negative,2024-12-09 16:00:01.938486+00,283605
,,2023-02-06 05:00:00+00,1245,negative,2024-12-09 16:00:01.938486+00,283606
,,2023-05-16 04:00:00+00,18,positive,2024-12-09 16:00:01.938486+00,283607
,,2020-12-04 05:00:00+00,1149,positive,2024-12-09 16:00:01.938486+00,283608
,,2021-04-18 04:00:00+00,3278,negative,2024-12-09 16:00:01.938486+00,283609
,,2023-01-21 05:00:00+00,826,negative,2024-12-09 16:00:01.938486+00,283610
,,2022-09-04 04:00:00+00,1026,negative,2024-12-09 16:00:01.938486+00,283611
,,2021-08-19 04:00:00+00,4844,negative,2024-12-09 16:00:01.938486+00,283612
,,2023-10-09 04:00:00+00,83,positive,2024-12-09 16:00:01.938486+00,283613
,,2022-05-08 04:00:00+00,187,positive,2024-12-09 16:00:01.938486+00,283614
